schema;table;column_id;column;fk_relation;relationship_entity;r_private_key;r_column_id;domain
Production;13;WeightUnitMeasureCode;>-;Production.UnitMeasure;UnitMeasureCode;1;FK_Product_UnitMeasure_WeightUnitMeasureCode;nchar
Production;14;Weight;NULL;NULL;NULL;NULL;NULL;decimal
Production;15;DaysToManufacture;NULL;NULL;NULL;NULL;NULL;int
Production;16;ProductLine;NULL;NULL;NULL;NULL;NULL;nchar
Production;17;Class;NULL;NULL;NULL;NULL;NULL;nchar
Production;18;Style;NULL;NULL;NULL;NULL;NULL;nchar
Production;19;ProductSubcategoryID;>-;Production.ProductSubcategory;ProductSubcategoryID;1;FK_Product_ProductSubcategory_ProductSubcategoryID;int
Production;20;ProductModelID;>-;Production.ProductModel;ProductModelID;1;FK_Product_ProductModel_ProductModelID;int
Production;21;SellStartDate;NULL;NULL;NULL;NULL;NULL;datetime
Production;22;SellEndDate;NULL;NULL;NULL;NULL;NULL;datetime
Production;23;DiscontinuedDate;NULL;NULL;NULL;NULL;NULL;datetime
Production;24;rowguid;NULL;NULL;NULL;NULL;NULL;uniqueidentifier
Production;25;ModifiedDate;NULL;NULL;NULL;NULL;NULL;datetime
Production;1;ProductCategoryID;NULL;NULL;NULL;NULL;NULL;int
Production;2;Name;NULL;NULL;NULL;NULL;NULL;Name
Production;3;rowguid;NULL;NULL;NULL;NULL;NULL;uniqueidentifier
Production;4;ModifiedDate;NULL;NULL;NULL;NULL;NULL;datetime
Production;1;ProductID;>-;Production.Product;ProductID;1;FK_ProductCostHistory_Product_ProductID;int
Production;2;StartDate;NULL;NULL;NULL;NULL;NULL;datetime
Production;3;EndDate;NULL;NULL;NULL;NULL;NULL;datetime
Production;4;StandardCost;NULL;NULL;NULL;NULL;NULL;money
Production;5;ModifiedDate;NULL;NULL;NULL;NULL;NULL;datetime
Production;1;ProductDescriptionID;NULL;NULL;NULL;NULL;NULL;int
Production;2;Description;NULL;NULL;NULL;NULL;NULL;nvarchar
Production;3;rowguid;NULL;NULL;NULL;NULL;NULL;uniqueidentifier
Production;4;ModifiedDate;NULL;NULL;NULL;NULL;NULL;datetime
Production;1;ProductID;>-;Production.Product;ProductID;1;FK_ProductDocument_Product_ProductID;int
Production;2;DocumentNode;>-;Production.Document;DocumentNode;1;FK_ProductDocument_Document_DocumentNode;hierarchyid
Production;3;ModifiedDate;NULL;NULL;NULL;NULL;NULL;datetime
